date_fin,date_debut,niveau_perturbation,typologie,voie,maitre_ouvrage,statut,identifiant,impact_circulation,geo_shape,objet,precision_localisation,cp_arrondissement,numero_stv,description,coordinates,duree(day)
2024-04-30,2020-10-01,2.0,1.0,bd de l'Hopital,STEA,2,CP001737,RESTREINTE,"[[[2.362239032875809, 48.84006847339192], [2.363620192184528, 48.84185194451383], [2.3644939447952167, 48.84089377350789], [2.363430079104164, 48.840434494457966], [2.3628993500886852, 48.840273303739046], [2.362239032875809, 48.84006847339192]]]",CREATION_RESEAUX,Square Marie Curie,75013,14,Création d'un Bassin de stockage,"[2.363448212735705, 48.84091404983383]",1307.0
2023-10-31,2021-09-27,2.0,3.0,Rue d'Alésia,Hopital St Anne,2,CP002156,RESTREINTE,"[[[[2.336840870375748, 48.827340517859064], [2.3382833209803895, 48.82711556942534], [2.338210939340992, 48.82701795172333], [2.3367527014613816, 48.82724071349103], [2.336702212867175, 48.82737464379105], [2.3368161041830313, 48.827369906143666], [2.336840870375748, 48.827340517859064]]], [[[2.3382833209803895, 48.82711556942534], [2.338286882024943, 48.82712037111259], [2.338286950158203, 48.827115003112816], [2.3382833209803895, 48.82711556942534]]]]",CONSTRUCTION_IMMEUBLE,Au N°2,75014,12,,"[2.337473037909696, 48.82718796138347]",764.0
2023-06-30,2022-02-07,2.0,3.0,Rue de la Paix,Rue de la Paix Paris SNC,2,CP002235,RESTREINTE,"[[[2.3313639895540907, 48.869221540746146], [2.3312144505433863, 48.86906936744337], [2.331133653954132, 48.86912554848895], [2.3312775814436337, 48.86926531647525], [2.3313632623324914, 48.869222012436026], [2.3313639895540907, 48.869221540746146]]]",REHABILITATION_IMMEUBLE,Au N°12,75002,11,Travaux de curage + Gros oeuvre,"[2.3312472821349948, 48.869169554306666]",508.0
2022-11-30,2022-05-09,2.0,,chaussée + trottoir,EDP,2,CP002308,RESTREINTE,"[[[2.3566866350776534, 48.869217246579815], [2.356776989714625, 48.8692610399184], [2.3567777225919126, 48.86926009145532], [2.3569723447197415, 48.869272558813165], [2.3570187697067237, 48.86925186887139], [2.3566866350776534, 48.869217246579815]]]",ENTRETIEN_RESEAU,17 rue René Boulanger sur une partie du trottoir et de la chaussée,75010,11,Puit pour renouvellement conduites EP en DN 100/150/200,"[2.356854868773165, 48.86924846607967]",205.0
2022-08-12,2022-06-27,1.0,2.0,Rue des Pyrennées,RTE,2,CP002352,SENS_UNIQUE,"[[[2.396223647378111, 48.86787230302754], [2.3971360364243472, 48.86672811509429], [2.397087497543934, 48.866703714349796], [2.3961669401717014, 48.86785054435731], [2.396223647378111, 48.86787230302754]]]",ENTRETIEN_RESEAU,Entre la rue Orfila et la rue du Retrait,75020,10,Liaison 63 KW - Père Lachaise - Romainville,"[2.3966470081386877, 48.86729679163671]",46.0
2022-10-28,2022-08-02,2.0,1.0,Boulevard Ornano,Mission vélos,4,CP002366,RESTREINTE,"[[[2.34621541527416, 48.895576747737934], [2.3464751628525624, 48.89564798150418], [2.3478972061511256, 48.893964046008584], [2.3476461480026045, 48.893849900145746], [2.34621541527416, 48.895576747737934]]]",REAMENAGEMENT_VOIRIE,Entre Joseph Dijon et la place Albert Kahn,75018,9,Pérennisation piste cyclable,"[2.3470677540567726, 48.89474789708485]",87.0
2024-06-30,2020-06-29,2.0,3.0,place du Palais Royal,LOUVRE-SAINT HONORE,2,CP001670,RESTREINTE,"[[[2.3372328887902536, 48.86225759717169], [2.337069926441364, 48.86231023365322], [2.337195298961625, 48.86251913700109], [2.3372726222598343, 48.86253622203806], [2.3373757632412206, 48.86250823886393], [2.3372328887902536, 48.86225759717169]]]",REHABILITATION_IMMEUBLE,n°2,75001,11,,"[2.337223199859476, 48.862402953011284]",1462.0
2022-08-31,2022-08-05,1.0,,Rue Lourmel,STV - SO,2,CP002370,BARRAGE_TOTAL,"[[[2.28612698074654, 48.84309145955429], [2.286171893296052, 48.84307830627989], [2.2862605577996797, 48.842839944106636], [2.286248578784564, 48.84282376763893], [2.286338663321281, 48.842778673813015], [2.2862984768898253, 48.8427435403558], [2.286212534227208, 48.84278329053379], [2.286171944891706, 48.842777679109716], [2.28566705915163, 48.842229778995765], [2.285593351709174, 48.84226691718784], [2.2861023394003235, 48.84281215835964], [2.286177982121483, 48.84293071304901], [2.286173804853794, 48.84293874107047], [2.28612698074654, 48.84309145955429]]]",REFECTION_CHAUSSEE,Entre Oscar Roty et rue Convention,75015,13,Désamiantage + aménagement de voirie + Tapis,"[2.2859840705511716, 48.84263446695412]",26.0
2023-01-27,2022-11-07,2.0,2.0,Avenue de Gambetta,GRDF,2,CP002423,RESTREINTE,"[[[2.3895052569478867, 48.86344113562116], [2.3895548907210364, 48.86336048576743], [2.3877643184977497, 48.86289328238125], [2.387725250710249, 48.86284192249709], [2.3877060314404317, 48.86278947521714], [2.3876373159751942, 48.86280578036413], [2.3876885730072264, 48.862894084694865], [2.387567396851302, 48.86307787668784], [2.387639649307013, 48.86306753883297], [2.3877134519632843, 48.86307862401386], [2.388019528512708, 48.86311945215145], [2.3885307597910215, 48.86319583025042], [2.3895052569478867, 48.86344113562116]]]",ENTRETIEN_RESEAU,"A l'angle du boulevard de Menilmontant, du n°2 au 18 avenue Gambetta",75020,10,,"[2.3884256853195445, 48.863132163086206]",81.0
2022-06-30,2018-07-16,2.0,3.0,"bd Morland , rue agrippa d'Aubigné,rue Schomberg",Spna,4,CP000786,SENS_UNIQUE,"[[[2.3628718989467705, 48.85040772786612], [2.36376300744465, 48.84970922780626], [2.3638166964943053, 48.84964240966964], [2.362535970598622, 48.84894308596265], [2.3616583093416987, 48.84953965316866], [2.3615789341338855, 48.84971101383103], [2.3628718989467705, 48.85040772786612]]]",REHABILITATION_IMMEUBLE,"N°17,du n°2au n°8,du n°1 au n°7",75004,11,,"[2.362681492057824, 48.849669114161614]",1445.0
